tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
new york,Cory Gunz,East Coast,Hip-Hop,278072,Jae Millz,Stack Bundles,J.R. Writer,72591
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,Count Bass D,underground hip-hop,Hip-Hop,1090013,J. Rawls,Jazz Spastiks,Edan,64183
political,The Coup,rap,Hip-Hop,1745370,Haftbefehl,Hanybal,Gzuz,110724
hip hop,Craig Mack,rap,Hip-Hop,470649,Naughty By Nature,Junior M.A.F.I.A.,Rakim,99360
H-Town,Crime Boss,Dirty South,Gangsta Rap,20877,Mr. Mike,K.B. & Lil' Flea,20-2-Life,3383
rap,Criminal Manne,Hip-Hop,memphis,93579,Mr. Sche,Gangsta Blac,T-Rock,14915
Gangsta Rap,Crooked I,rap,Hip-Hop,969327,Slaughterhouse,Joe Budden,Joell Ortiz,127879
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirty South,CyHi The Prynce,Hip-Hop,rap,302300,Big K.R.I.T.,Curren$y,XV,12498
underground hip-hop,Del Tha Funkee Homosapien,rap,Hip-Hop,5352958,Hieroglyphics,Deltron 3030,Souls of Mischief,369182
Gangsta Rap,Dr. Dre,rap,Hip-Hop,35617768,Snoop Dogg,The Game,Ice Cube,2208069
Eminem,Eminem,Hip-Hop,rap,176323100,D12,Bad Meets Evil,Stat Quo,4265886
rnb,D'Angelo,Neo-Soul,soul,9435713,D'Angelo and The Vanguard,Erykah Badu,Bilal,600816
african,D'Banj,nigeria,naija,224422,Wizkid,Olamide,Davido,37773
hip hop,D-Loc,rap,Hip-Hop,101814,Johnny Richter,DGAF,Daddy X,17820
old school,D-Nice,rap,Hip-Hop,46845,K-Solo,Dana Dane,Mc Serch,12365
canada,D-Pryde,rap,Hip-Hop,229034,TraPhik,Dumbfoundead & DJ Zo,Wax and EOM,6767
Gangsta Rap,The D.O.C.,rap,Hip-Hop,564896,MC Ren,Above the Law,Eazy-E,122632
female vocalists,Da Brat,rap,Hip-Hop,349420,MC Lyte,Foxy Brown,Lil' Kim,80914
rap,Da$H,underground hip-hop,Hip-Hop,143404,Joey Fatts,Robb Bank$,Da$h & Retch,6506
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,Daddy-O,east coast rap,Hip-Hop,2784,Private Investigators,Rough House Survivers,Da King & I,400
underground hip-hop,Damu The Fudgemunk,Hip-Hop,instrumental hip-hop,1781554,K-Def,Y Society,Klaus Layer,65703
indie,Dan Bull,Hip-Hop,rap,670723,Epic Rap Battles Of History,Watsky,Hopsin,28414
rap,Dana Dane,old school,Hip-Hop,39565,UTFO,Doug E. Fresh & The Get Fresh Crew,Whistle,11419
rnb,Danny Boy,rap,Hip-Hop,42622,Jodeci,H-Town,Adina Howard,9392
underground hip-hop,Danny Brown,rap,Hip-Hop,14799905,ScHoolboy Q,Vince Staples,Run the Jewels,340489
rnb,Dappy,british,rap,480946,N-Dubz,Ironik,Tinchy Stryder,43213
new york,Dave East,rap,Hip-Hop,116728,Fabolous,Styles P,The Lox,12490
underground hip-hop,Daveed Diggs,rap,Hip-Hop,173310,clipping.,Dessa,Anthony Ramos,16358
Dirty South,David Banner,Hip-Hop,rap,2148201,Dem Franchize Boyz,YoungBloodz,Ying Yang Twins,412633
New Zealand,David Dallas,hip hop,rap,325425,PNC,@peace,Logic,27242
Electro-Hop,David Rush,rap,Hip-Hop,275883,Jump Smokers,DJ Class,Three 6 Mafia vs. Tiësto with Sean Kingston and Flo Rida,69406
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,Daz Dillinger,Gangsta Rap,rap,906084,Tha Dogg Pound,Kurupt,WC,168277
rap,Dazzie Dee,West Coast Rap,G-funk,20251,I Smooth 7,Vontel,Mr. Iroc,751
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Def Jef,hip hop,Hip-Hop,23935,Kwame,Chill Rob G,Lakim Shabazz,5895
rap,Dej Loaf,hip hop,Hip-Hop,531816,K Camp,Rich Homie Quan,Fetty Wap,77713
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Demrick,seen live,Hip-Hop,51683,Demrick & Cali Cleve,Mark Battles,Bodega Bamz,6046
rap,Deniro Farrar,cloud rap,Hip-Hop,248156,Blue Sky Black Death & Nacho Picasso,Nacho Picasso,Robb Bank$,12152
memphis rap,Denzel Curry,rap,Hip-Hop,1967773,Flatbush ZOMBiES,The Underachievers,Travi$ Scott,65970
seen live,Derek Minor,Christian Rap,Hip-Hop,79711,Tedashii,KB,Trip Lee,4728
hip hop,Desiigner,Hip-Hop,rap,1750216,Travi$ Scott,Lil Yachty,Dj Esco,193300
jazz,Detail,Hip-Hop,Drum and bass,66794,Split Second,Optiv & CZA,Keeno & Whiney,15723
rap,Deuce,hip hop,rapcore,1681433,Hollywood Undead,Manafest,Richy Nix,95647
female vocalists,Dev,pop,electronic,5941152,The Cataracs,Havana Brown,Natalia Kills,549000
Dirty South,Devin the Dude,rap,Hip-Hop,3029112,Scarface,UGK,Z-Ro,170795
UK,Devlin,Hip-Hop,Grime,1783026,Ghetts,Professor Green,Wiley,188825
underground hip-hop,Diabolic,Hip-Hop,death metal,553752,Vinnie Paz,Army of the Pharaohs,Apathy & Celph Titled,42038
hip hop,Diamond,Hip-Hop,rap,340455,Trina,Lil' Kim,Shawnna,54379
DITC,Diamond D,rap,Hip-Hop,395246,Showbiz & A.G.,O.C.,Lord Finesse,47986
diggy,Diggy Simmons,rap,Hip-Hop,139912,Diggy,Cyhi Da Prynce,Donnis,11116
hip hop,Dillon Cooper,rap,Hip-Hop,125639,Flatbush ZOMBiES,CJ FLY,The Underachievers,8966
booty bass,Disco D,electro,ghettotech,44539,DJ Nasty,DJ Slugo,Starski and Clutch,6241
