tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
rap,Casey Veggies,ofwgkta,Hip-Hop,1074761,Dom Kennedy,Curren$y,Sir Michael Rocks,108472
Hip-Hop,Cash Out,detroit,detroit rap,59131,Rich Kidz,Tity Boi,"French Montana, Juicy J & Project Pat",11529
NA,NA,NA,NA,NA,NA,NA,NA,NA
juggalo,Caskey,rap,Hip-Hop,51866,Kevin Gates,French Montana,K Camp,2873
NA,NA,NA,NA,NA,NA,NA,NA,NA
east coast rap,Cassidy,rap,Hip-Hop,2342592,Fabolous,Jadakiss,Juelz Santana,462586
House,Cazwell,rap,dance,401267,RuPaul,Manila Luzon,The Young Professionals,27395
Hip-Hop,CeeLo Green,funk,soul,11259879,Gnarls Barkley,Robin Thicke,Aloe Blacc,854582
Hip-Hop,Cellski,Bay Area,rap,79266,Guce,Dubee,Bavgate,18007
rap,Celly Cel,G-funk,Bay Area,311542,C-Bo,B-Legit,Spice 1,62451
rap,Celph Titled,underground hip-hop,Hip-Hop,1228538,Apathy,Vinnie Paz,Army of the Pharaohs,75214
underground hip-hop,Cesar Comanche,hip hop,Hip-Hop,106088,L.E.G.A.C.Y.,Edgar Allen Floe,The Away Team,14385
turkish,Ceza,Turkish Rap,rap,680828,Sagopa Kajmer,Sansar Salvo,Mode XL,47207
Dirty South,Chamillionaire,Hip-Hop,rap,9543131,Slim Thug,Paul Wall,Stevie Stone,917047
hip hop,Chance the Rapper,rap,Hip-Hop,11019264,Donnie Trumpet & The Social Experiment,Kanye West,NoName,242894
r&b,Chanel West Coast,Hip-Hop,pop,99371,Honey Cocaine,Lil Debbie,Brooke Candy,6876
solo,Channel 7,jazz,seen live,3630,Harry-O,Andi Vax & Dj Romantic & Erik,Apples Montgomery,459
swedish,Charizma,Hip-Hop,hard rock,114044,Peanut Butter Wolf,Edan,Del Tha Funkee Homosapien,16148
new york,Charles Hamilton,rap,Hip-Hop,2203541,Mickey Factz,Blu,XV,298199
